Property,arts and recreation,biography,food and agriculture,geography,history,language and literature,measurements,philosophy,religion,science,social sciences,technology
academicDiscipline,0,2,0,0,0,0,0,1,0,1,0,0
almaMater,0,1,0,0,0,0,0,0,0,0,0,0
architect,0,2,0,4,0,0,0,0,0,0,0,0
architecturalStyle,0,0,0,5,0,0,0,0,0,0,0,0
artist,14,1,0,0,0,0,0,0,0,0,0,0
associatedBand,1,5,0,0,0,0,0,0,0,0,0,0
associatedMusicalArtist,13,11,0,0,0,0,0,0,0,0,0,0
award,6,2,0,0,0,0,0,0,0,0,0,0
bandMember,2,0,0,0,0,0,0,0,0,0,0,0
birthPlace,0,10,0,2,0,0,0,0,0,0,0,0
breeder,1,0,0,0,0,0,0,0,0,0,0,0
broadcastNetwork,0,0,0,0,0,0,0,0,0,0,0,1
capital,0,0,0,1,0,0,0,0,0,0,0,0
cinematography,1,0,0,0,0,0,0,0,0,0,0,0
city,0,0,0,13,0,0,0,0,0,0,0,1
club,0,1,0,0,0,0,0,0,0,0,0,0
company,2,0,0,0,0,0,0,0,0,0,0,0
country,2,0,0,8,2,0,0,0,0,0,0,1
creator,0,1,0,0,0,0,0,0,0,0,0,0
currentMember,4,63,0,0,0,0,0,0,0,0,0,0
deathPlace,0,2,0,0,0,0,0,0,0,0,0,0
designCompany,0,0,0,0,0,0,0,0,0,0,0,1
developer,0,1,0,0,0,0,0,0,0,0,0,0
director,3,2,0,0,0,0,0,0,0,0,0,0
district,0,0,0,1,0,0,0,0,0,0,0,0
doctoralAdvisor,0,1,0,0,0,0,0,0,0,0,0,0
engine,0,0,0,0,0,0,0,0,0,0,0,8
father,0,1,0,0,0,0,0,0,0,0,0,0
firstDriver,0,14,0,0,0,0,0,0,0,0,0,0
formerBandMember,3,0,0,0,0,0,0,0,0,0,0,0
formerTeam,0,3,0,0,0,0,0,0,0,0,0,0
foundedBy,0,7,0,1,0,0,0,0,0,0,1,0
garrison,0,0,0,0,0,0,0,0,0,0,0,1
genre,1,1,0,0,0,0,0,0,0,0,0,0
ground,1,0,0,0,0,0,0,0,0,0,0,0
headquarter,1,1,0,3,0,0,0,0,0,0,0,0
highest,0,0,0,2,0,0,0,0,0,0,0,0
highschool,0,1,0,15,0,0,0,0,0,0,0,0
hometown,2,3,0,18,0,0,0,0,0,0,0,0
importantStation,0,0,0,1,0,0,0,0,0,0,0,0
institution,0,1,0,0,0,0,0,0,0,0,0,0
isPartOfMilitaryConflict,0,0,0,0,1,0,0,0,0,0,1,0
keyPerson,0,0,0,1,0,0,0,0,0,0,0,2
lake,0,0,0,1,0,0,0,0,0,0,0,0
language,1,0,0,0,0,0,0,0,0,0,0,0
location,1,0,0,2,0,0,0,0,0,0,0,0
manager,1,2,0,0,0,0,0,0,0,0,0,0
managerClub,31,26,0,0,0,0,0,0,0,0,0,0
manufacturer,0,0,0,0,0,0,0,0,0,0,0,1
militaryBranch,0,0,0,0,0,0,0,0,0,0,0,3
mountainRange,0,0,0,1,0,0,0,0,0,0,0,0
mouthMountain,0,0,0,5,0,0,0,0,0,0,0,0
mouthPlace,0,0,0,2,0,0,0,0,0,0,0,0
musicComposer,4,2,0,0,0,0,0,0,0,0,0,0
nationality,0,8,0,0,0,0,0,0,0,0,0,0
nearestCity,0,0,0,9,0,0,0,0,0,0,0,0
network,7,0,0,0,0,0,0,0,0,0,0,1
nrhpType,0,0,0,1,0,0,0,0,0,0,0,0
occupation,0,1,0,0,0,0,0,0,0,0,0,0
openingTheme,0,2,0,0,0,0,0,0,0,0,0,0
owner,0,1,0,3,0,0,0,0,0,0,0,0
parent,0,1,0,0,0,0,0,0,0,0,0,0
person,0,0,0,1,0,0,0,0,0,0,0,0
place,0,0,0,0,2,0,0,0,0,0,0,0
presenter,1,2,0,0,0,0,0,0,0,0,0,0
previousWork,0,0,0,0,0,2,0,0,0,0,0,0
producer,25,12,0,0,0,0,0,0,0,0,0,0
productionCompany,0,1,0,0,0,0,0,0,0,0,0,0
province,0,0,0,1,0,0,0,0,0,0,0,0
recordLabel,4,0,0,0,0,0,0,0,0,0,0,0
restingPlace,0,1,0,0,0,0,0,0,0,0,0,0
routeEnd,0,0,0,11,0,0,0,0,0,0,0,0
routeJunction,0,0,0,35,0,0,0,0,0,0,0,0
routeStart,0,0,0,9,0,0,0,0,0,0,0,0
species,0,0,1,0,0,0,0,0,0,0,0,0
spouse,0,1,0,0,0,0,0,0,0,0,0,0
starring,71,67,0,7,0,0,0,0,0,0,0,0
stateOfOrigin,0,4,0,0,0,0,0,0,0,0,0,0
team,154,214,0,2,0,0,0,0,0,0,0,0
trainer,0,1,0,0,0,0,0,0,0,0,0,0
voice,1,0,0,0,0,0,0,0,0,0,0,0
writer,2,0,0,0,0,0,0,0,0,0,0,0
